Size,Fitness,PercolationIndex,MaxEditDistance,AvgEditDistance
10,78.51,56,3,1.6666666666666667
2,86.45,31,1,1.0
8,78.72,58,3,1.8928571428571428
341,10.0,791,5,3.294152147662584
3,80.82,43,1,1.0
2,84.52,33,1,1.0
2,82.88,31,1,1.0
8,84.01,65,3,1.6785714285714286
7,76.1,61,3,1.7142857142857142
46,84.34,130,5,2.917874396135266
9,78.72,87,3,1.75
3,79.09,37,1,1.0
2,87.96,32,1,1.0
10,77.01,82,3,1.8
3,79.52,40,1,1.0
3,81.64,44,1,1.0
11,78.51,76,3,1.8727272727272728
9,60.16,58,3,1.7777777777777777
7,77.08,69,3,1.8095238095238095
44,59.81,112,5,2.927061310782241
7,81.82,61,2,1.5238095238095237
9,88.01,63,3,1.6666666666666667
10,83.23,70,3,1.8222222222222222
10,79.05,61,3,1.8666666666666667
3,85.84,42,2,1.3333333333333333
3,86.4,41,1,1.0
3,84.01,43,2,1.3333333333333333
2,88.66,39,1,1.0
3,80.85,39,1,1.0
8,53.66,53,2,1.5
7,79.46,55,3,1.7619047619047619
5,60.52,54,2,1.5
9,85.06,75,3,1.8055555555555556
2,84.19,33,1,1.0
7,77.82,63,2,1.5238095238095237
2,78.84,30,1,1.0
2,71.64,30,1,1.0
5,86.22,46,2,1.5
2,84.57,32,1,1.0
6,81.82,61,2,1.4666666666666666
9,85.06,64,3,1.75
4,83.65,52,2,1.3333333333333333
2,78.71,30,1,1.0
2,88.03,41,1,1.0
10,78.69,71,3,1.9555555555555555
8,71.29,55,3,1.75
7,85.24,67,3,1.8095238095238095
6,82.13,57,3,1.6666666666666667
3,85.49,42,1,1.0
58,78.51,153,5,2.9612825166364187
2,70.1,31,1,1.0
3,78.69,37,1,1.0
4,81.45,47,3,1.6666666666666667
7,61.71,64,2,1.4761904761904763
8,75.34,93,3,1.8214285714285714
2,79.38,29,1,1.0
7,86.22,72,2,1.619047619047619
12,60.16,82,3,1.9545454545454546
2,85.49,35,1,1.0
8,87.47,62,3,1.7142857142857142
8,80.21,73,3,1.8214285714285714
2,80.85,36,1,1.0
7,79.38,61,3,1.7142857142857142
2,87.2,33,1,1.0
11,88.01,104,3,2.090909090909091
2,75.52,33,1,1.0
9,80.21,75,3,1.6944444444444444
3,79.4,39,1,1.0
11,78.72,64,3,1.8727272727272728
3,59.51,38,1,1.0
4,84.29,56,2,1.5
7,79.46,50,3,1.7142857142857142
4,85.25,48,2,1.3333333333333333
2,83.41,42,1,1.0
2,87.89,30,1,1.0
2,83.08,39,1,1.0
7,79.14,64,3,1.7142857142857142
10,69.33,70,4,1.9777777777777779
3,54.34,33,1,1.0
8,79.86,62,3,1.7142857142857142
5,59.81,49,2,1.6
12,84.16,97,4,2.212121212121212
8,78.69,55,2,1.5
2,60.37,31,1,1.0
3,61.43,54,2,1.3333333333333333
2,78.8,31,1,1.0
3,67.85,48,2,1.3333333333333333
2,75.02,31,1,1.0
8,78.97,61,3,1.7142857142857142
3,76.09,42,1,1.0
3,69.08,32,1,1.0
2,83.07,42,1,1.0
10,87.47,82,3,1.9333333333333333
3,75.46,40,1,1.0
2,59.51,32,1,1.0
4,83.68,41,2,1.3333333333333333
4,80.21,52,2,1.3333333333333333
8,82.37,76,3,1.8928571428571428
3,84.69,39,1,1.0
16,83.63,95,4,2.375
3,83.17,41,2,1.3333333333333333
8,85.84,68,3,1.7142857142857142
2,69.25,43,1,1.0
8,67.47,48,3,1.7142857142857142
3,85.19,37,1,1.0
2,83.84,34,1,1.0
3,54.55,40,1,1.0
2,78.32,33,1,1.0
6,84.85,61,3,1.8666666666666667
2,83.85,35,1,1.0
2,79.35,36,1,1.0
2,79.57,33,1,1.0
6,78.5,48,3,1.7333333333333334
2,83.55,43,1,1.0
10,78.97,63,3,1.9111111111111112
2,86.78,44,1,1.0
6,84.61,59,3,1.6666666666666667
9,76.1,71,3,1.6666666666666667
3,61.02,33,1,1.0
2,85.09,43,1,1.0
3,78.04,44,1,1.0
3,68.0,40,1,1.0
2,79.53,33,1,1.0
7,79.9,71,2,1.4761904761904763
2,83.63,38,1,1.0
2,81.31,33,1,1.0
15,83.63,107,4,2.323809523809524
5,86.22,51,2,1.5
3,72.14,41,1,1.0
2,79.52,32,1,1.0
5,85.17,47,2,1.4
3,54.28,38,1,1.0
2,77.13,29,1,1.0
2,72.44,41,1,1.0
6,84.85,59,2,1.5333333333333334
2,78.07,32,1,1.0
8,79.46,60,3,1.7857142857142858
2,86.2,40,1,1.0
7,54.43,55,2,1.5238095238095237
2,87.52,43,1,1.0
7,84.34,53,3,1.7142857142857142
4,60.82,40,2,1.3333333333333333
2,87.54,34,1,1.0
2,80.85,32,1,1.0
6,77.08,53,3,1.8
6,82.37,58,2,1.6
3,88.05,54,2,1.3333333333333333
2,84.65,34,1,1.0
5,83.64,49,3,1.7
2,84.33,36,1,1.0
9,78.5,73,3,1.9444444444444444
3,85.36,49,2,1.3333333333333333
3,80.47,36,1,1.0
3,85.53,41,1,1.0
2,80.09,33,1,1.0
7,79.9,64,3,1.8095238095238095
9,59.81,67,3,1.7777777777777777
3,84.0,43,1,1.0
2,83.5,32,1,1.0
12,80.71,108,4,2.1666666666666665
2,80.87,42,1,1.0
3,68.98,41,2,1.3333333333333333
6,77.66,52,2,1.5333333333333334
4,78.69,48,2,1.3333333333333333
2,78.1,34,1,1.0
6,84.47,59,2,1.5333333333333334
3,76.03,42,1,1.0
2,71.03,31,1,1.0
2,60.59,37,1,1.0
2,83.43,31,1,1.0
6,83.47,60,3,1.6666666666666667
44,79.46,115,5,2.8668076109936576
2,85.86,43,1,1.0
2,61.89,32,1,1.0
8,82.37,65,3,1.6785714285714286
2,70.1,34,1,1.0
5,87.11,52,2,1.5
6,79.14,53,2,1.4666666666666666
3,87.2,41,1,1.0
6,75.34,56,3,1.6666666666666667
8,83.35,65,2,1.5
2,78.64,36,1,1.0
7,80.21,64,2,1.4761904761904763
2,76.16,28,1,1.0
3,59.25,37,1,1.0
2,78.31,43,1,1.0
10,60.52,62,3,1.9777777777777779
3,60.49,35,1,1.0
5,69.53,54,2,1.6
2,84.56,33,1,1.0
7,55.18,62,3,1.6666666666666667
2,83.49,34,1,1.0
2,84.5,31,1,1.0
2,83.56,32,1,1.0
2,71.21,38,1,1.0
2,84.52,29,1,1.0
3,79.46,43,1,1.0
6,51.32,59,3,1.6666666666666667
2,83.97,29,1,1.0
3,77.01,37,2,1.3333333333333333
3,84.37,43,1,1.0
3,70.34,46,1,1.0
6,78.82,51,2,1.5333333333333334
3,60.78,36,1,1.0
9,78.97,68,3,1.75
3,88.22,48,2,1.3333333333333333
7,53.66,62,3,1.8095238095238095
3,78.82,41,2,1.3333333333333333
2,68.8,33,1,1.0
2,84.75,32,1,1.0
3,85.36,43,1,1.0
2,85.36,35,1,1.0
7,87.11,67,3,1.7142857142857142
7,78.31,69,3,1.7619047619047619
3,77.89,42,1,1.0
2,85.08,32,1,1.0
3,60.37,38,1,1.0
2,77.87,42,1,1.0
2,82.85,29,1,1.0
2,86.8,32,1,1.0
5,68.98,49,3,1.7
7,61.71,55,2,1.5238095238095237
2,79.09,30,1,1.0
7,82.52,62,2,1.4761904761904763
2,85.99,35,1,1.0
3,84.71,37,1,1.0
10,77.82,80,3,1.7555555555555555
6,85.25,56,3,1.6666666666666667
9,54.43,58,3,1.7222222222222223
6,63.13,56,2,1.4666666666666666
11,83.23,70,3,1.8545454545454545
3,82.39,39,1,1.0
3,85.16,44,1,1.0
3,78.49,41,1,1.0
3,84.12,46,1,1.0
9,82.37,67,3,1.7777777777777777
3,84.13,42,1,1.0
3,85.49,41,1,1.0
2,83.69,44,1,1.0
2,81.85,43,1,1.0
2,84.23,28,1,1.0
8,83.23,59,3,1.7857142857142858
3,82.69,39,1,1.0
5,83.47,57,3,1.7
2,77.65,35,1,1.0
2,51.03,33,1,1.0
2,68.12,36,1,1.0
3,72.24,41,1,1.0
2,81.68,34,1,1.0
3,83.69,44,1,1.0
2,82.85,33,1,1.0
5,79.46,44,2,1.6
2,85.48,43,1,1.0
2,77.8,43,1,1.0
3,84.2,41,1,1.0
2,85.84,42,1,1.0
7,83.64,68,3,1.7142857142857142
3,59.56,36,1,1.0
7,84.85,61,3,1.7142857142857142
6,78.8,63,2,1.4666666666666666
2,81.07,35,1,1.0
5,83.11,50,2,1.4
3,84.91,37,1,1.0
2,61.8,32,1,1.0
4,60.12,42,2,1.3333333333333333
3,61.02,34,2,1.3333333333333333
3,79.58,40,1,1.0
2,61.36,32,1,1.0
2,82.92,33,1,1.0
2,70.47,40,1,1.0
3,84.56,34,1,1.0
2,84.61,39,1,1.0
2,78.69,30,1,1.0
